FetchedAt,Origin,Destination,DepartureDate,MinPrice,Currency,NumberOfSegments
2025-06-19T19:13:31.487289,BER,IST,2025-06-19T21:15:00,223.07,EUR,2
2025-06-19T19:13:31.487307,BER,IST,2025-06-19T21:15:00,223.07,EUR,2
2025-06-19T19:13:31.487312,BER,IST,2025-06-19T21:15:00,500.19,EUR,2
2025-06-19T19:14:04.712096,BER,LHR,2025-06-19T21:20:00,255.82,EUR,2
2025-06-19T19:14:04.712113,BER,LHR,2025-06-19T21:20:00,255.82,EUR,2
2025-06-19T19:14:04.712118,BER,LHR,2025-06-19T21:50:00,329.41,EUR,2
2025-06-19T19:14:04.712123,BER,LHR,2025-06-19T21:50:00,329.41,EUR,2
2025-06-19T19:14:04.712127,BER,LHR,2025-06-19T21:20:00,1402.82,EUR,2
2025-06-19T19:14:37.126082,BER,CDG,2025-06-19T21:55:00,113.32,EUR,2
2025-06-19T19:14:37.126099,BER,CDG,2025-06-19T21:15:00,143.07,EUR,2
2025-06-19T19:14:37.126104,BER,CDG,2025-06-19T21:20:00,311.82,EUR,2
2025-06-19T19:14:37.126108,BER,CDG,2025-06-19T21:15:00,374.19,EUR,2
2025-06-19T19:14:37.126112,BER,CDG,2025-06-19T21:15:00,404.19,EUR,2
2025-06-19T19:14:37.126116,BER,CDG,2025-06-19T21:50:00,413.41,EUR,2
2025-06-19T19:14:37.126120,BER,CDG,2025-06-19T21:20:00,461.82,EUR,2
2025-06-19T19:14:37.126124,BER,CDG,2025-06-19T21:50:00,717.41,EUR,2
2025-06-19T19:14:37.126128,BER,CDG,2025-06-19T21:40:00,1038.27,EUR,2
2025-06-19T19:15:07.002882,BER,FCO,2025-06-19T21:55:00,157.32,EUR,2
2025-06-19T19:15:07.002900,BER,FCO,2025-06-19T21:55:00,176.32,EUR,2
2025-06-19T19:15:07.002905,BER,FCO,2025-06-19T21:20:00,255.82,EUR,2
2025-06-19T19:15:07.002909,BER,FCO,2025-06-19T21:20:00,255.82,EUR,2
2025-06-19T19:15:07.002913,BER,FCO,2025-06-19T21:50:00,329.41,EUR,2
2025-06-19T19:15:07.002917,BER,FCO,2025-06-19T21:15:00,371.19,EUR,2
2025-06-19T19:15:37.382300,BER,MAD,2025-06-19T21:20:00,255.82,EUR,2
2025-06-19T19:15:37.382317,BER,MAD,2025-06-19T21:15:00,413.19,EUR,2
2025-06-19T19:15:37.382322,BER,MAD,2025-06-19T21:40:00,810.77,EUR,2
2025-06-19T19:16:08.874321,BER,KBP,2025-06-19T21:20:00,1995.86,EUR,3
2025-06-19T19:16:39.542469,BER,WAW,2025-06-19T21:20:00,183.82,EUR,2
2025-06-19T19:16:39.542487,BER,WAW,2025-06-19T21:50:00,215.41,EUR,2
2025-06-19T19:16:39.542492,BER,WAW,2025-06-19T21:50:00,271.41,EUR,2
2025-06-19T19:16:39.542496,BER,WAW,2025-06-19T21:20:00,311.82,EUR,2
2025-06-19T19:16:39.542500,BER,WAW,2025-06-19T21:50:00,1848.41,EUR,2
2025-06-19T19:16:39.542504,BER,WAW,2025-06-19T21:50:00,1848.41,EUR,2
2025-06-19T19:16:39.542507,BER,WAW,2025-06-19T21:20:00,2332.82,EUR,2
2025-06-19T19:16:39.542511,BER,WAW,2025-06-19T21:20:00,2332.82,EUR,2
2025-06-19T19:17:41.239849,BER,AMS,2025-06-19T21:55:00,160.32,EUR,2
2025-06-19T19:17:41.239863,BER,AMS,2025-06-19T21:20:00,183.82,EUR,2
2025-06-19T19:17:41.239867,BER,AMS,2025-06-19T21:50:00,271.41,EUR,2
2025-06-19T19:17:41.239871,BER,AMS,2025-06-19T21:50:00,449.41,EUR,2
2025-06-19T19:17:41.239874,BER,AMS,2025-06-19T21:40:00,763.77,EUR,2
2025-06-19T19:17:41.239878,BER,AMS,2025-06-19T21:40:00,1209.27,EUR,2
2025-06-19T19:17:41.239881,BER,AMS,2025-06-19T21:40:00,1209.27,EUR,2
2025-06-19T19:18:12.060837,BER,ARN,2025-06-19T21:55:00,87.32,EUR,2
2025-06-19T19:18:12.060851,BER,ARN,2025-06-19T21:55:00,94.32,EUR,2
2025-06-19T19:18:12.060856,BER,ARN,2025-06-19T21:50:00,98.19,EUR,1
2025-06-19T19:18:12.060859,BER,ARN,2025-06-19T21:20:00,129.82,EUR,2
2025-06-19T19:18:12.060862,BER,ARN,2025-06-19T21:20:00,178.82,EUR,2
2025-06-19T19:18:41.851643,BER,BRU,2025-06-19T21:20:00,156.10,EUR,2
2025-06-19T19:18:41.851660,BER,BRU,2025-06-19T21:20:00,184.10,EUR,2
2025-06-19T19:18:41.851665,BER,BRU,2025-06-19T21:50:00,243.69,EUR,2
2025-06-19T19:18:41.851669,BER,BRU,2025-06-19T21:50:00,1984.69,EUR,2
2025-06-19T19:18:41.851673,BER,BRU,2025-06-19T21:50:00,1984.69,EUR,2
2025-06-19T19:18:41.851677,BER,BRU,2025-06-19T21:20:00,3190.10,EUR,2
2025-06-19T19:18:41.851681,BER,BRU,2025-06-19T21:20:00,3190.10,EUR,2
2025-06-19T19:19:12.500302,BER,ATH,2025-06-19T21:55:00,243.32,EUR,2
2025-06-19T19:19:12.500319,BER,ATH,2025-06-19T21:50:00,359.41,EUR,2
2025-06-19T19:19:12.500325,BER,ATH,2025-06-19T21:20:00,371.82,EUR,2
2025-06-19T19:19:12.500329,BER,ATH,2025-06-19T21:20:00,371.82,EUR,2
