FetchedAt,Origin,Destination,DepartureDate,MinPrice,Currency,NumberOfSegments
2025-06-19T19:34:32.500677,LHR,CDG,2025-06-19T20:50:00,191.83,EUR,2
2025-06-19T19:34:32.500691,LHR,CDG,2025-06-19T20:50:00,191.83,EUR,2
2025-06-19T19:34:32.500695,LHR,CDG,2025-06-19T22:15:00,237.40,EUR,2
2025-06-19T19:34:32.500698,LHR,CDG,2025-06-19T22:15:00,237.40,EUR,2
2025-06-19T19:34:32.500702,LHR,CDG,2025-06-19T20:50:00,259.83,EUR,2
2025-06-19T19:34:32.500705,LHR,CDG,2025-06-19T20:50:00,259.83,EUR,2
2025-06-19T19:34:32.500708,LHR,CDG,2025-06-19T20:55:00,295.93,EUR,2
2025-06-19T19:34:32.500711,LHR,CDG,2025-06-19T20:55:00,295.93,EUR,2
2025-06-19T19:34:32.500714,LHR,CDG,2025-06-19T21:05:00,419.43,EUR,2
2025-06-19T19:34:32.500717,LHR,CDG,2025-06-19T22:25:00,576.09,EUR,2
2025-06-19T19:34:32.500720,LHR,CDG,2025-06-19T22:25:00,576.09,EUR,2
2025-06-19T19:34:32.500723,LHR,CDG,2025-06-19T21:05:00,723.43,EUR,2
2025-06-19T19:34:32.500726,LHR,CDG,2025-06-19T22:15:00,1650.37,EUR,2
2025-06-19T19:34:32.500729,LHR,CDG,2025-06-19T21:55:00,1669.11,EUR,2
2025-06-19T19:34:32.500735,LHR,CDG,2025-06-19T21:55:00,1669.11,EUR,2
2025-06-19T19:35:05.575847,LHR,FCO,2025-06-19T22:15:00,163.40,EUR,2
2025-06-19T19:35:05.575862,LHR,FCO,2025-06-19T22:15:00,163.40,EUR,2
2025-06-19T19:35:05.575867,LHR,FCO,2025-06-19T20:50:00,176.83,EUR,2
2025-06-19T19:35:05.575870,LHR,FCO,2025-06-19T20:50:00,186.31,EUR,2
2025-06-19T19:35:05.575873,LHR,FCO,2025-06-19T20:55:00,290.93,EUR,2
2025-06-19T19:35:05.575877,LHR,FCO,2025-06-19T20:55:00,290.93,EUR,2
2025-06-19T19:35:05.575880,LHR,FCO,2025-06-19T21:05:00,337.43,EUR,2
2025-06-19T19:35:05.575883,LHR,FCO,2025-06-19T22:25:00,477.09,EUR,2
2025-06-19T19:35:05.575886,LHR,FCO,2025-06-19T22:25:00,542.09,EUR,2
2025-06-19T19:35:05.575889,LHR,FCO,2025-06-19T21:55:00,1961.11,EUR,2
2025-06-19T19:35:05.575892,LHR,FCO,2025-06-19T21:55:00,1961.11,EUR,2
2025-06-19T19:35:36.090663,LHR,MAD,2025-06-19T20:55:00,286.93,EUR,2
2025-06-19T19:35:36.090682,LHR,MAD,2025-06-19T20:55:00,286.93,EUR,2
